location,table_name,row_id,field_name,base_value_preview
"Simulator 'The Meeting That Changed Your Narrative', card 5",card,288,end_text,Your narrative is built one interpretation at a time.
"Simulator 'The Meeting That Changed Your Narrative', card 5",card,288,why_this_question,Empowerment grows when achievements become part of your self
"Module 'Strategies and Tools to Strengthen Self-Confidence' (day 13), card 6",component_subtitle,23,content,Which pillar will you practice first this week?
"Module 'Story of me: Rewriting your power narrative' (day 4), card 1",component_subtitle,74,content,Mastering the Art of Your Personal Story
"Module 'Self-Care for Strong Leaders' (day 5), card 7",component_text,180,content,"When you take care of yourself, your confidence grows, your "
"Module 'Silent Heros: The power of listening and the liberation of time' (day 28), card 2",component_text,292,content,MOMO
"Module 'Silent Heros: The power of listening and the liberation of time' (day 28), card 2",component_text,293,content,"A girl who lives in an abandoned amphitheatre, comes from ‘s"
"Module 'Silent Heros: The power of listening and the liberation of time' (day 28), card 2",component_text,294,content,MOMO’S FRIENDS
"Module 'Silent Heros: The power of listening and the liberation of time' (day 28), card 2",component_text,295,content,The children – they come to see Momo at the amphitheatre eve
"Module 'Silent Heros: The power of listening and the liberation of time' (day 28), card 2",component_text,296,content,"Beppo, the street sweeper – a sedate, thoughtful older gentl"
"Module 'Silent Heros: The power of listening and the liberation of time' (day 28), card 2",component_text,297,content,"Gigi, the tour guide – a young, eloquent, fun-loving man,"
"Module 'Silent Heros: The power of listening and the liberation of time' (day 28), card 2",component_text,298,content,"Nicolà, the bricklayer"
"Module 'Silent Heros: The power of listening and the liberation of time' (day 28), card 2",component_text,299,content,"Nino, the innkeeper, and Liliana, his wife Liliana Mr Fusi, "
"Module 'Silent Heros: The power of listening and the liberation of time' (day 28), card 2",component_text,300,content,THE GREY GENTLEMEN
"Module 'Silent Heros: The power of listening and the liberation of time' (day 28), card 2",component_text,301,content,"Among them is BLW/553/c, who wants to get Momo to ‘save time"
"Module 'Silent Heros: The power of listening and the liberation of time' (day 28), card 2",component_text,302,content,"CASSIOPEIA, the tortoise"
"Module 'Silent Heros: The power of listening and the liberation of time' (day 28), card 2",component_text,303,content,"MASTER HORA, the keeper of time"
"Module 'Story of me: Rewriting your power narrative' (day 4), card 7",component_text,350,content,Your narrative shapes your power – and you can shape your na
"Simulator 'Your Voice, Your Space', card 1",component_text,404,content,You’ve been thinking about posting a personal reflection on 
"Simulator 'Your Voice, Your Space', card 2",component_text,405,content,"After posting, someone sends you a message that feels invasi"
"Simulator 'Your Voice, Your Space', card 3",component_text,406,content,One of your posts receives a dismissive comment saying: “Peo
"Simulator 'Your Voice, Your Space', card 4",component_text,407,content,You realize certain accounts consistently make you feel anxi
"Simulator 'Your Voice, Your Space', card 5",component_text,408,content,A younger woman messages you saying that your post inspired 
"Simulator 'The Meeting That Changed Your Narrative', card 1",component_text,409,content,Your manager invites you to present your team’s work during 
"Simulator 'The Meeting That Changed Your Narrative', card 2",component_text,410,content,"While preparing for the presentation, you remember a time ye"
"Simulator 'The Meeting That Changed Your Narrative', card 3",component_text,411,content,A colleague reviews your draft presentation and says: “This 
"Simulator 'The Meeting That Changed Your Narrative', card 4",component_text,412,content,"During the leadership meeting, someone interrupts you halfwa"
"Simulator 'The Meeting That Changed Your Narrative', card 5",component_text,413,content,"After the meeting, you realize you handled a situation that "
"Module 'Discover your inner potential' (day 1), card 1",component_image,17,image_alt,short description of what the image is
"Module 'Discover your inner potential' (day 1), card 1",component_image,17,image_description,detailed explanation of what the image shows
"Module 'Story of me: Rewriting your power narrative' (day 4), card 1",component_image,61,image_alt,short description of what the image is
"Module 'Story of me: Rewriting your power narrative' (day 4), card 1",component_image,61,image_description,"A woman opening a large book that emits soft light, pages tr"
"Module 'Story of me: Rewriting your power narrative' (day 4), card 1",component_mcq,85,question,the question here
"Simulator 'Your Voice, Your Space', card 1",component_mcq,134,question,You’ve been thinking about posting a personal reflection on 
"Simulator 'Your Voice, Your Space', card 2",component_mcq,135,question,"After posting, someone sends you a message that feels invasi"
"Simulator 'Your Voice, Your Space', card 3",component_mcq,136,question,One of your posts receives a dismissive comment saying: “Peo
"Simulator 'Your Voice, Your Space', card 4",component_mcq,137,question,You realize certain accounts consistently make you feel anxi
"Simulator 'Your Voice, Your Space', card 5",component_mcq,138,question,A younger woman messages you saying that your post inspired 
"Simulator 'The Meeting That Changed Your Narrative', card 1",component_mcq,139,question,Your manager invites you to present your team’s work during 
"Simulator 'The Meeting That Changed Your Narrative', card 2",component_mcq,140,question,"While preparing for the presentation, you remember a time ye"
"Simulator 'The Meeting That Changed Your Narrative', card 3",component_mcq,141,question,A colleague reviews your draft presentation and says: “This 
"Simulator 'The Meeting That Changed Your Narrative', card 4",component_mcq,142,question,"During the leadership meeting, someone interrupts you halfwa"
"Simulator 'The Meeting That Changed Your Narrative', card 5",component_mcq,143,question,"After the meeting, you realize you handled a situation that "
"Module 'Knowing Yourself as a Leader - Leading your own way' (day 14), card 7",component_open_questions,83,question,Think of a recent situation. How did you respond.
"Module 'Knowing Yourself as a Leader - Leading your own way' (day 14), card 7",component_open_questions,84,question,What could you try differently next time?
"Module 'Breathwork for Focus and Balance' (day 6), card 4",component_open_questions,112,question,"When you feel emotionally, what helps you most?"
"Module 'Discover Your Personality: The Big Five Model' (day 2), card 8",component_list,114,content,That was the last dimention of The Big Five Model. Your answ
"Module 'Networking: Building Real, Warm Connections' (day 19), card 3",component_list,143,content,‘What are you working on that you’re actually excited about?
"Module 'Networking: Building Real, Warm Connections' (day 19), card 3",component_list,144,content,‘What brought you to this event / group / space?’
"Module 'Networking: Building Real, Warm Connections' (day 19), card 3",component_list,145,content,‘Is there something you’re trying to figure out right now?’
"Module 'Networking: Building Real, Warm Connections' (day 19), card 3",component_list,146,content,‘I loved talking with you — I want to let you meet other peo
"Module 'Networking: Building Real, Warm Connections' (day 19), card 3",component_list,147,content,‘This has been really interesting. Let me grab a drink / som
"Module 'Networking: Building Real, Warm Connections' (day 19), card 3",component_list,148,content,"‘I have to step out for a bit, but can I find you on LinkedI"
"Module 'Networking: Building Real, Warm Connections' (day 19), card 4",component_list,149,content,"One specific sentence about them (a post, a project, a talk "
"Module 'Networking: Building Real, Warm Connections' (day 19), card 4",component_list,150,content,"One sentence about why you’re writing (honest reason, not in"
"Module 'Networking: Building Real, Warm Connections' (day 19), card 4",component_list,151,content,"One clear, small ask (‘a 20-minute call’, ‘your thoughts on "
"Module 'Networking: Building Real, Warm Connections' (day 19), card 4",component_list,152,content,‘I’d love to pick your brain’ — it signals you haven’t thoug
"Module 'Networking: Building Real, Warm Connections' (day 19), card 4",component_list,153,content,‘Quick question’ followed by a 300-word paragraph — people n
"Module 'Networking: Building Real, Warm Connections' (day 19), card 4",component_list,154,content,Sending the same copy-pasted message to 40 people — it shows
"Module 'Networking: Building Real, Warm Connections' (day 19), card 5",component_list,155,content,"‘Hi [name], really enjoyed our conversation about [specific "
"Module 'Networking: Building Real, Warm Connections' (day 19), card 5",component_list,156,content,‘I thought more about what you said on [topic] — it made me 
"Module 'Networking: Building Real, Warm Connections' (day 19), card 5",component_list,157,content,‘No need to reply — I just wanted to say thank you. Let’s st
"Module 'Networking: Building Real, Warm Connections' (day 19), card 6",component_list,158,content,"Before an event → the three-question prep (what I do, what I"
"Module 'Networking: Building Real, Warm Connections' (day 19), card 6",component_list,159,content,"In a conversation → ask real questions, listen with follow-u"
"Module 'Networking: Building Real, Warm Connections' (day 19), card 6",component_list,160,content,"Online → four-sentence warm message: specific, honest, small"
"Module 'Partnering: The Power of Building Things with Others' (day 20), card 3",component_list,200,content,Her strengths fill gaps you honestly have (not flatter the s
"Module 'Partnering: The Power of Building Things with Others' (day 20), card 3",component_list,201,content,"She disagrees with you respectfully, early — before money or"
"Module 'Partnering: The Power of Building Things with Others' (day 20), card 3",component_list,202,content,"Her definition of success is close to yours (money, impact, "
"Module 'Partnering: The Power of Building Things with Others' (day 20), card 3",component_list,203,content,She is vague when you ask direct questions about commitments
"Module 'Partnering: The Power of Building Things with Others' (day 20), card 3",component_list,204,content,"She speaks badly about her previous partners, employers or c"
"Module 'Partnering: The Power of Building Things with Others' (day 20), card 3",component_list,205,content,Her energy is high at the start and drops sharply when the f
"Module 'Partnering: The Power of Building Things with Others' (day 20), card 4",component_list,206,content,"Roles and responsibilities — who owns what, not just in theo"
"Module 'Partnering: The Power of Building Things with Others' (day 20), card 4",component_list,207,content,"Decision rights — which decisions need both of you, which ar"
"Module 'Partnering: The Power of Building Things with Others' (day 20), card 4",component_list,208,content,"Money — how income, costs, profits and losses are split, and"
"Module 'Partnering: The Power of Building Things with Others' (day 20), card 4",component_list,209,content,"What we are building, and by when (one paragraph)."
"Module 'Partnering: The Power of Building Things with Others' (day 20), card 4",component_list,210,content,Who does what (two clear columns).
"Module 'Partnering: The Power of Building Things with Others' (day 20), card 4",component_list,211,content,"How we split time, money and credit (specific numbers or per"
"Module 'Partnering: The Power of Building Things with Others' (day 20), card 5",component_list,212,content,Complementary skills — you stop pretending to be good at eve
"Module 'Partnering: The Power of Building Things with Others' (day 20), card 5",component_list,213,content,"Shared risk — you no longer carry a big idea, a big investme"
"Module 'Partnering: The Power of Building Things with Others' (day 20), card 5",component_list,214,content,Speed — two focused people move significantly faster than on
"Module 'Partnering: The Power of Building Things with Others' (day 20), card 6",component_list,215,content,Partnering is not networking — it’s building something toget
"Module 'Partnering: The Power of Building Things with Others' (day 20), card 6",component_list,216,content,Great partnerships share a pattern: complementary strengths 
"Module 'Partnering: The Power of Building Things with Others' (day 20), card 6",component_list,217,content,"Choose partners for value alignment first, skills second."
"Module 'Self-Care for Strong Leaders' (day 5), card 7",component_list,301,content,Self-care → Energy → Confidence → Leadership impact
"Module 'Ikigai: Discover your purpose' (day 3), card 6",component_list,312,content,"Ikigai is a direction, not a fixed destination"
"Module 'Mindful Meditation Moments' (day 7), card 1",component_list,330,content,Sit comfortably and close your eyes
"Module 'Story of me: Rewriting your power narrative' (day 4), card 1",component_list,340,content,list element 1
"Module 'Story of me: Rewriting your power narrative' (day 4), card 1",component_list,341,content,list element 2
"Module 'Story of me: Rewriting your power narrative' (day 4), card 1",component_list,342,content,list element 3
"Module 'Story of me: Rewriting your power narrative' (day 4), card 1",component_list,343,content,list element 4
"Module 'Ikigai: Discover your purpose' (day 3), card 6",component_list,366,content,Alignment creates motivation and meaning
"Module 'Ikigai: Discover your purpose' (day 3), card 6",component_list,367,content,Exploration is part of the journey
"Module 'Mindful Meditation Moments' (day 7), card 1",component_list,391,content,Notice your breath without changing it
"Module 'Mindful Meditation Moments' (day 7), card 1",component_list,392,content,Allow thoughts to come and go
"Module 'Mindful Meditation Moments' (day 7), card 1",component_list,393,content,Allow thoughts to come and go
"Module 'Story of me: Rewriting your power narrative' (day 4), card 1",multiple_choices_options,178,option_text,answer option 1
"Module 'Story of me: Rewriting your power narrative' (day 4), card 1",multiple_choices_options,179,option_text,answer option 2
"Module 'Story of me: Rewriting your power narrative' (day 4), card 1",multiple_choices_options,180,option_text,answer option 3
"Simulator 'Your Voice, Your Space', card 1",multiple_choices_options,316,option_text,Post it anyway because your voice deserves visibility.
"Simulator 'Your Voice, Your Space', card 1",multiple_choices_options,316,feedback,Courage online does not mean being fearless. It means showin
"Simulator 'Your Voice, Your Space', card 1",multiple_choices_options,317,option_text,Edit the post repeatedly until it feels completely “perfect.
"Simulator 'Your Voice, Your Space', card 1",multiple_choices_options,317,feedback,Perfectionism can become a socially acceptable form of hidin
"Simulator 'Your Voice, Your Space', card 1",multiple_choices_options,318,option_text,Delete the post draft and decide not to share anything perso
"Simulator 'Your Voice, Your Space', card 1",multiple_choices_options,318,feedback,"Avoiding visibility may feel safer temporarily, but it can r"
"Simulator 'Your Voice, Your Space', card 2",multiple_choices_options,319,option_text,Clearly state that the message makes you uncomfortable and e
"Simulator 'Your Voice, Your Space', card 2",multiple_choices_options,319,feedback,Boundaries protect your emotional safety and teach others ho
"Simulator 'Your Voice, Your Space', card 2",multiple_choices_options,320,option_text,Reply politely even though you feel uncomfortable.
"Simulator 'Your Voice, Your Space', card 2",multiple_choices_options,320,feedback,Prioritizing politeness over safety can slowly normalize dis
"Simulator 'Your Voice, Your Space', card 2",multiple_choices_options,321,option_text,Ignore the message but keep rereading it anxiously.
"Simulator 'Your Voice, Your Space', card 2",multiple_choices_options,321,feedback,"Avoidance may reduce confrontation, but the emotional impact"
"Simulator 'Your Voice, Your Space', card 3",multiple_choices_options,322,option_text,Remind yourself that disagreement does not define your value
"Simulator 'Your Voice, Your Space', card 3",multiple_choices_options,322,feedback,Emotional safety grows when you stop treating every opinion 
"Simulator 'Your Voice, Your Space', card 3",multiple_choices_options,323,option_text,Delete the entire post immediately.
"Simulator 'Your Voice, Your Space', card 3",multiple_choices_options,323,feedback,"Removing yourself from visibility may provide relief, but it"
"Simulator 'Your Voice, Your Space', card 3",multiple_choices_options,324,option_text,Spend hours obsessing over the comment and checking whether 
"Simulator 'Your Voice, Your Space', card 3",multiple_choices_options,324,feedback,Rumination amplifies emotional stress and gives disproportio
"Simulator 'Your Voice, Your Space', card 4",multiple_choices_options,325,option_text,"Mute, unfollow, or limit content that negatively affects you"
"Simulator 'Your Voice, Your Space', card 4",multiple_choices_options,325,feedback,Protecting your digital environment is a powerful act of emo
"Simulator 'Your Voice, Your Space', card 4",multiple_choices_options,326,option_text,Continue following the accounts because you feel guilty unfo
"Simulator 'Your Voice, Your Space', card 4",multiple_choices_options,326,feedback,Guilt-based online habits can quietly undermine your confide
"Simulator 'Your Voice, Your Space', card 4",multiple_choices_options,327,option_text,Compare yourself constantly to the people you follow.
"Simulator 'Your Voice, Your Space', card 4",multiple_choices_options,327,feedback,Comparison shifts focus away from your own growth and identi
"Simulator 'Your Voice, Your Space', card 5",multiple_choices_options,328,option_text,Continue sharing thoughtfully while staying aligned with you
"Simulator 'Your Voice, Your Space', card 5",multiple_choices_options,328,feedback,Authentic self-expression becomes powerful when paired with 
"Simulator 'Your Voice, Your Space', card 5",multiple_choices_options,329,option_text,Decide the attention feels overwhelming and disappear from o
"Simulator 'Your Voice, Your Space', card 5",multiple_choices_options,329,feedback,"Taking breaks can be healthy, but disappearing out of fear m"
"Simulator 'Your Voice, Your Space', card 5",multiple_choices_options,330,option_text,Change your content entirely to avoid criticism from others.
"Simulator 'Your Voice, Your Space', card 5",multiple_choices_options,330,feedback,Constantly adapting yourself for approval can disconnect you
"Simulator 'The Meeting That Changed Your Narrative', card 1",multiple_choices_options,331,option_text,Accept immediately and begin preparing key talking points
"Simulator 'The Meeting That Changed Your Narrative', card 1",multiple_choices_options,331,feedback,You recognize that discomfort does not mean incapability. By
"Simulator 'The Meeting That Changed Your Narrative', card 1",multiple_choices_options,332,option_text,Ask if someone more experienced can present with you.
"Simulator 'The Meeting That Changed Your Narrative', card 1",multiple_choices_options,332,feedback,"Seeking support can be healthy, but in this moment it partly"
"Simulator 'The Meeting That Changed Your Narrative', card 1",multiple_choices_options,333,option_text,Decline politely and say you are too busy.
"Simulator 'The Meeting That Changed Your Narrative', card 1",multiple_choices_options,333,feedback,"Avoidance protects you from short-term discomfort, but stren"
"Simulator 'The Meeting That Changed Your Narrative', card 2",multiple_choices_options,334,option_text,Pause and ask yourself whether this thought is actually fact
"Simulator 'The Meeting That Changed Your Narrative', card 2",multiple_choices_options,334,feedback,You practice narrative awareness by separating old emotional
"Simulator 'The Meeting That Changed Your Narrative', card 2",multiple_choices_options,335,option_text,Ignore the thought and continue working without reflecting o
"Simulator 'The Meeting That Changed Your Narrative', card 2",multiple_choices_options,335,feedback,"Pushing thoughts away may help temporarily, but it does not "
"Simulator 'The Meeting That Changed Your Narrative', card 2",multiple_choices_options,336,option_text,Replay the embarrassing memory repeatedly and criticize your
"Simulator 'The Meeting That Changed Your Narrative', card 2",multiple_choices_options,336,feedback,"Repetition strengthens limiting beliefs, even when they are "
"Simulator 'The Meeting That Changed Your Narrative', card 3",multiple_choices_options,337,option_text,Reframe the feedback as support for your growth instead of p
"Simulator 'The Meeting That Changed Your Narrative', card 3",multiple_choices_options,337,feedback,You shift from shame to learning. Empowering narratives leav
"Simulator 'The Meeting That Changed Your Narrative', card 3",multiple_choices_options,338,option_text,Thank them politely but secretly decide you are not good at 
"Simulator 'The Meeting That Changed Your Narrative', card 3",multiple_choices_options,338,feedback,Outwardly staying calm while internally reinforcing self-dou
"Simulator 'The Meeting That Changed Your Narrative', card 3",multiple_choices_options,339,option_text,Become defensive and stop asking for feedback entirely.
"Simulator 'The Meeting That Changed Your Narrative', card 3",multiple_choices_options,339,feedback,Protecting yourself from discomfort can reduce growth opport
"Simulator 'The Meeting That Changed Your Narrative', card 4",multiple_choices_options,340,option_text,Calmly continue speaking and say: “I’d like to finish my poi
"Simulator 'The Meeting That Changed Your Narrative', card 4",multiple_choices_options,340,feedback,You communicate assertively without aggression and reinforce
"Simulator 'The Meeting That Changed Your Narrative', card 4",multiple_choices_options,341,option_text,Stop speaking and let the interruption take over the convers
"Simulator 'The Meeting That Changed Your Narrative', card 4",multiple_choices_options,341,feedback,"Staying silent may feel safer in the moment, but it can rein"
"Simulator 'The Meeting That Changed Your Narrative', card 4",multiple_choices_options,342,option_text,Apologize repeatedly before continuing.
"Simulator 'The Meeting That Changed Your Narrative', card 4",multiple_choices_options,342,feedback,Over-apologizing can unintentionally communicate uncertainty
"Simulator 'The Meeting That Changed Your Narrative', card 5",multiple_choices_options,343,option_text,Write down three strengths you demonstrated during the exper
"Simulator 'The Meeting That Changed Your Narrative', card 5",multiple_choices_options,343,feedback,Naming your strengths helps transform isolated successes int
"Simulator 'The Meeting That Changed Your Narrative', card 5",multiple_choices_options,344,option_text,Focus only on the mistakes you made during the presentation.
"Simulator 'The Meeting That Changed Your Narrative', card 5",multiple_choices_options,344,feedback,Perfection-focused thinking can erase evidence of growth and
"Simulator 'The Meeting That Changed Your Narrative', card 5",multiple_choices_options,345,option_text,Tell yourself you simply “got lucky.”
"Simulator 'The Meeting That Changed Your Narrative', card 5",multiple_choices_options,345,feedback,Minimizing success prevents confidence from becoming integra
"Module 'Unlocking Creativity & Vision' (day 8), card 7",multiple_choices_options,432,option_text,Music
"Module 'Unlocking Creativity & Vision' (day 8), card 7",multiple_choices_options,433,option_text,Painting
"Module 'Unlocking Creativity & Vision' (day 8), card 7",multiple_choices_options,434,option_text,Writing
Metric 'Digital Boundaries',simulator_metric,21,name,Digital Boundaries
Metric 'Online Confidence',simulator_metric,22,name,Online Confidence
Metric 'Emotional Safety',simulator_metric,23,name,Emotional Safety
Metric 'Authentic Self-Expression',simulator_metric,24,name,Authentic Self-Expression
Metric 'Self-Trust',simulator_metric,25,name,Self-Trust
Metric 'Assertive Communication',simulator_metric,26,name,Assertive Communication
Metric 'Narrative Awareness',simulator_metric,27,name,Narrative Awareness
Metric 'Resilience',simulator_metric,28,name,Resilience
Simulator 'Public Speaking' feedback tier 143 (metric 4),simulator_feedback_tiers,143,recommendation_reason,"When assertiveness is low, the most valuable step is reducin"
Simulator 'Public Speaking' feedback tier 144 (metric 4),simulator_feedback_tiers,144,recommendation_reason,"You have a working level of assertiveness, the next step is "
Simulator 'Public Speaking' feedback tier 145 (metric 4),simulator_feedback_tiers,145,recommendation_reason,Confident assertiveness becomes most powerful when it is pai
Simulator 'Public Speaking' feedback tier 146 (metric 5),simulator_feedback_tiers,146,recommendation_reason,"When composure is low, small social frictions carry outsized"
Simulator 'Public Speaking' feedback tier 147 (metric 5),simulator_feedback_tiers,147,recommendation_reason,"You already have a working composure, the next step is prote"
Simulator 'Public Speaking' feedback tier 148 (metric 5),simulator_feedback_tiers,148,recommendation_reason,Strong composure is one of the most valuable networking asse
Simulator 'Public Speaking' feedback tier 149 (metric 6),simulator_feedback_tiers,149,recommendation_reason,"When strategic warmth is low, networking often collapses int"
Simulator 'Public Speaking' feedback tier 150 (metric 6),simulator_feedback_tiers,150,recommendation_reason,"You have the harder half of strategic warmth already, genuin"
Simulator 'Public Speaking' feedback tier 151 (metric 6),simulator_feedback_tiers,151,recommendation_reason,Strategic warmth at this level is a rare and valuable capaci
Simulator 'Find your IKIGAI: Purpose discovering challenge' feedback tier 649 (metric 18),simulator_feedback_tiers,649,micro_practice,Reflect on a bold decision and define your personal decision
"Simulator 'Your Voice, Your Space' feedback tier 659 (metric 21)",simulator_feedback_tiers,659,strength_result,You may struggle to protect your emotional space online when
"Simulator 'Your Voice, Your Space' feedback tier 659 (metric 21)",simulator_feedback_tiers,659,risk_result,Weak boundaries can lead to emotional exhaustion and unsafe 
"Simulator 'Your Voice, Your Space' feedback tier 659 (metric 21)",simulator_feedback_tiers,659,micro_practice,Practice saying “I’m not comfortable with that” once in a lo
"Simulator 'Your Voice, Your Space' feedback tier 659 (metric 21)",simulator_feedback_tiers,659,recommendation_reason,This module helps participants develop healthier and more co
"Simulator 'Your Voice, Your Space' feedback tier 660 (metric 22)",simulator_feedback_tiers,660,strength_result,Fear of judgment may stop you from expressing yourself onlin
"Simulator 'Your Voice, Your Space' feedback tier 660 (metric 22)",simulator_feedback_tiers,660,risk_result,Avoiding visibility can reinforce self-doubt and silence you
"Simulator 'Your Voice, Your Space' feedback tier 660 (metric 22)",simulator_feedback_tiers,660,micro_practice,Share one authentic thought online this week without overedi
"Simulator 'Your Voice, Your Space' feedback tier 660 (metric 22)",simulator_feedback_tiers,660,recommendation_reason,This module helps participants strengthen confidence and red
"Simulator 'Your Voice, Your Space' feedback tier 661 (metric 23)",simulator_feedback_tiers,661,strength_result,Online interactions may strongly affect your emotional wellb
"Simulator 'Your Voice, Your Space' feedback tier 661 (metric 23)",simulator_feedback_tiers,661,risk_result,Exposure to criticism or unhealthy content can increase anxi
"Simulator 'Your Voice, Your Space' feedback tier 661 (metric 23)",simulator_feedback_tiers,661,micro_practice,Unfollow or mute one account that consistently drains your e
"Simulator 'Your Voice, Your Space' feedback tier 661 (metric 23)",simulator_feedback_tiers,661,recommendation_reason,This module helps participants protect their emotional energ
"Simulator 'Your Voice, Your Space' feedback tier 662 (metric 24)",simulator_feedback_tiers,662,strength_result,You may hide parts of yourself online to avoid judgment or r
"Simulator 'Your Voice, Your Space' feedback tier 662 (metric 24)",simulator_feedback_tiers,662,risk_result,Over-filtering yourself can weaken your sense of identity an
"Simulator 'Your Voice, Your Space' feedback tier 662 (metric 24)",simulator_feedback_tiers,662,micro_practice,Share one honest opinion this week without minimizing it.
"Simulator 'Your Voice, Your Space' feedback tier 662 (metric 24)",simulator_feedback_tiers,662,recommendation_reason,This module helps participants reconnect with their authenti
Simulator 'The Meeting That Changed Your Narrative' feedback tier 663 (metric 25),simulator_feedback_tiers,663,strength_result,You may still rely heavily on external validation before tru
Simulator 'The Meeting That Changed Your Narrative' feedback tier 663 (metric 25),simulator_feedback_tiers,663,risk_result,Self-doubt can lead you to avoid visibility and underestimat
Simulator 'The Meeting That Changed Your Narrative' feedback tier 663 (metric 25),simulator_feedback_tiers,663,micro_practice,"Every evening, write down one decision you handled well that"
Simulator 'The Meeting That Changed Your Narrative' feedback tier 663 (metric 25),simulator_feedback_tiers,663,recommendation_reason,This module helps participants strengthen confidence and rec
